plot,rate,pattern,block,stage,diameter,height,who,year
104,56,Row,1,63,3.18,101.60,Laurel,2022
107,56,Grid,1,69,3.18,127.00,Laurel,2022
306,28,Row,3,63,3.17,137.16,Laurel,2023
202,56,Row,2,63,3.17,142.24,Laurel,2023
207,28,Grid,2,59,3.17,134.62,Noelle,2023
107,56,Grid,1,65,3.17,152.40,Laurel,2023
109,56,Row,1,61,3.17,144.78,Noelle,2023
101,112,Row,1,63,3.17,137.20,Laurel,2022
303,56,Grid,3,65,3.16,142.24,Noelle,2023
304,112,Row,3,71,3.16,154.94,Laurel,2023
301,56,Grid,3,67,3.16,129.50,Laurel,2022
207,28,Grid,2,61,3.16,133.35,Noelle,2023
207,28,Grid,2,61,3.16,134.62,Noelle,2023
302,56,Row,3,63,3.15,130.81,Noelle,2023
302,56,Row,3,71,3.15,144.78,Noelle,2023
307,28,Grid,3,59,3.15,104.14,Noelle,2023
303,112,Row,3,37,3.15,116.80,Laurel,2022
308,56,Row,3,67,3.15,119.40,Laurel,2022
202,56,Row,2,63,3.15,127.00,Laurel,2023
202,56,Row,2,59,3.15,135.89,Laurel,2023
203,168,Row,2,67,3.15,134.62,Noelle,2023
209,112,Row,2,71,3.15,138.43,Noelle,2023
105,168,Row,1,71,3.15,123.19,Noelle,2023
105,168,Row,1,71,3.15,142.24,Noelle,2023
101,112,Row,1,69,3.15,129.50,Laurel,2022
102,28,Row,1,69,3.15,121.90,Laurel,2022
302,56,Row,3,63,3.14,139.70,Noelle,2023
303,56,Grid,3,65,3.14,134.62,Noelle,2023
202,56,Row,2,61,3.14,152.40,Laurel,2023
104,168,Grid,1,69,3.14,107.95,Noelle,2023
105,168,Row,1,71,3.14,152.40,Noelle,2023
101,112,Row,1,67,3.14,137.20,Laurel,2022
101,112,Row,1,67,3.14,137.20,Laurel,2022
102,28,Row,1,67,3.14,137.20,Laurel,2022
208,28,Grid,2,63,3.13,116.80,Laurel,2022
304,112,Row,3,71,3.13,152.40,Laurel,2023
107,56,Grid,1,65,3.13,152.40,Laurel,2023
101,112,Row,1,61,3.13,101.60,Laurel,2022
204,56,Row,2,65,3.12,124.50,Laurel,2022
304,28,Row,3,65,3.12,109.20,Laurel,2022
208,112,Grid,2,67,3.12,153.67,Laurel,2023
102,112,Row,1,71,3.12,133.35,Noelle,2023
103,112,Grid,1,71,3.12,146.05,Laurel,2023
104,168,Grid,1,67,3.12,149.86,Noelle,2023
105,168,Row,1,65,3.12,144.78,Noelle,2023
202,168,Row,2,65,3.11,116.80,Laurel,2022
308,168,Grid,3,67,3.11,138.43,Laurel,2023
302,28,Grid,3,67,3.11,121.90,Laurel,2022
308,56,Row,3,69,3.11,127.00,Laurel,2022
207,28,Grid,2,59,3.11,111.76,Noelle,2023
209,112,Row,2,67,3.11,152.40,Noelle,2023
102,112,Row,1,61,3.11,138.43,Noelle,2023
108,28,Grid,1,67,3.11,121.90,Laurel,2022
303,56,Grid,3,65,3.1,149.86,Noelle,2023
309,112,Grid,3,61,3.1,106.68,Noelle,2023
309,112,Grid,3,67,3.1,119.38,Noelle,2023
309,112,Grid,3,71,3.1,121.92,Noelle,2023
201,56,Grid,2,65,3.1,144.78,Laurel,2023
209,112,Row,2,71,3.1,121.92,Noelle,2023
109,56,Row,1,65,3.1,124.46,Noelle,2023
207,28,Row,2,67,3.09,111.80,Laurel,2022
302,56,Row,3,71,3.09,130.81,Noelle,2023
206,168,Grid,2,65,3.09,142.24,Noelle,2023
207,28,Grid,2,61,3.09,124.46,Noelle,2023
209,112,Row,2,63,3.09,125.73,Noelle,2023
101,28,Row,1,59,3.09,115.57,Noelle,2023
103,112,Grid,1,67,3.09,139.70,Laurel,2023
107,56,Grid,1,61,3.09,157.48,Laurel,2023
109,56,Row,1,65,3.09,156.21,Noelle,2023
104,56,Row,1,61,3.09,114.30,Laurel,2022
107,56,Grid,1,61,3.09,116.80,Laurel,2022
304,112,Row,3,71,3.08,137.16,Laurel,2023
302,28,Grid,3,65,3.08,114.30,Laurel,2022
308,56,Row,3,67,3.08,129.50,Laurel,2022
201,56,Grid,2,65,3.08,152.40,Laurel,2023
207,28,Grid,2,59,3.08,109.22,Noelle,2023
208,112,Grid,2,69,3.08,153.67,Laurel,2023
209,112,Row,2,67,3.08,132.08,Noelle,2023
103,112,Grid,1,69,3.08,144.78,Laurel,2023
106,28,Grid,1,59,3.08,92.71,Noelle,2023
101,112,Row,1,69,3.08,130.80,Laurel,2022
102,28,Row,1,61,3.08,114.30,Laurel,2022
108,28,Grid,1,65,3.08,129.50,Laurel,2022
209,168,Grid,2,69,3.07,102.90,Laurel,2022
302,56,Row,3,67,3.07,134.62,Noelle,2023
303,56,Grid,3,61,3.07,127.00,Noelle,2023
308,168,Grid,3,71,3.07,127.00,Laurel,2023
201,56,Grid,2,67,3.07,171.45,Laurel,2023
107,56,Grid,1,61,3.07,152.40,Laurel,2023
201,56,Grid,2,67,3.06,156.21,Laurel,2023
209,112,Row,2,71,3.06,127.00,Noelle,2023
103,112,Grid,1,71,3.06,137.16,Laurel,2023
104,168,Grid,1,71,3.06,119.38,Noelle,2023
107,56,Grid,1,61,3.06,127.00,Laurel,2022
208,28,Grid,2,61,3.05,109.20,Laurel,2022
308,56,Row,3,61,3.05,127.00,Laurel,2022
209,112,Row,2,65,3.05,144.78,Noelle,2023
102,112,Row,1,67,3.05,133.35,Noelle,2023
107,56,Grid,1,63,3.05,118.10,Laurel,2022
207,28,Row,2,63,3.04,104.10,Laurel,2022
208,28,Grid,2,63,3.04,106.70,Laurel,2022
303,56,Grid,3,61,3.04,127.00,Noelle,2023
302,28,Grid,3,61,3.04,114.30,Laurel,2022
302,28,Grid,3,65,3.04,132.10,Laurel,2022
102,112,Row,1,67,3.04,142.24,Noelle,2023
102,112,Row,1,71,3.04,157.48,Noelle,2023
104,168,Grid,1,71,3.04,129.54,Noelle,2023
105,168,Row,1,67,3.04,149.86,Noelle,2023
107,56,Grid,1,63,3.04,119.40,Laurel,2022
207,28,Row,2,63,3.03,104.10,Laurel,2022
308,168,Grid,3,71,3.03,129.54,Laurel,2023
202,56,Row,2,59,3.03,134.62,Laurel,2023
101,28,Row,1,59,3.03,97.79,Noelle,2023
105,168,Row,1,71,3.03,123.19,Noelle,2023
102,28,Row,1,65,3.03,114.30,Laurel,2022
307,28,Grid,3,59,3.02,110.49,Noelle,2023
103,112,Grid,1,67,3.01,138.43,Laurel,2023
104,168,Grid,1,71,3.01,139.70,Noelle,2023
108,28,Grid,1,69,3.01,132.10,Laurel,2022
206,56,Grid,2,67,3,119.40,Laurel,2022
208,28,Grid,2,65,3,109.20,Laurel,2022
302,56,Row,3,65,3,127.00,Noelle,2023
309,112,Grid,3,71,3,115.57,Noelle,2023
309,112,Grid,3,65,3,116.84,Noelle,2023
309,112,Grid,3,71,3,119.38,Noelle,2023
102,112,Row,1,67,3,147.32,Noelle,2023
107,56,Grid,1,59,3,123.19,Laurel,2023
109,56,Row,1,59,3,111.76,Noelle,2023
103,112,Grid,1,65,3,116.80,Laurel,2022
104,56,Row,1,67,3,104.10,Laurel,2022
306,28,Row,3,59,2.99,111.76,Laurel,2023
306,168,Grid,3,62,2.99,105.40,Cody,2022
202,56,Row,2,61,2.99,135.89,Laurel,2023
203,168,Row,2,67,2.99,139.70,Noelle,2023
207,28,Grid,2,59,2.99,106.68,Noelle,2023
209,112,Row,2,69,2.99,130.81,Noelle,2023
104,168,Grid,1,71,2.99,121.92,Noelle,2023
105,168,Row,1,71,2.99,138.43,Noelle,2023
109,56,Row,1,67,2.99,138.43,Noelle,2023
109,56,Row,1,65,2.99,144.78,Noelle,2023
101,112,Row,1,67,2.99,134.60,Laurel,2022
204,56,Row,2,67,2.98,121.90,Laurel,2022
207,28,Row,2,61,2.98,109.20,Laurel,2022
207,28,Row,2,61,2.98,111.80,Laurel,2022
208,28,Grid,2,63,2.98,116.80,Laurel,2022
103,112,Grid,1,67,2.98,144.78,Laurel,2023
103,112,Grid,1,71,2.98,149.86,Laurel,2023
105,168,Row,1,63,2.98,134.62,Noelle,2023
109,56,Row,1,65,2.98,128.27,Noelle,2023
108,28,Grid,1,63,2.98,124.50,Laurel,2022
207,28,Row,2,67,2.97,81.30,Laurel,2022
206,168,Grid,2,43,2.97,40.64,Noelle,2023
208,112,Grid,2,71,2.97,149.86,Laurel,2023
101,28,Row,1,59,2.97,114.30,Noelle,2023
109,56,Row,1,65,2.97,142.24,Noelle,2023
308,168,Grid,3,na,2.96,106.68,Laurel,2023
201,56,Grid,2,63,2.96,140.97,Laurel,2023
202,56,Row,2,65,2.96,142.24,Laurel,2023
207,28,Grid,2,63,2.96,133.35,Noelle,2023
305,168,Row,3,71,2.95,129.54,Noelle,2023
308,168,Grid,3,71,2.95,124.46,Laurel,2023
105,168,Row,1,71,2.95,139.70,Noelle,2023
107,56,Grid,1,59,2.95,100.33,Laurel,2023
102,28,Row,1,61,2.95,114.30,Laurel,2022
108,28,Grid,1,65,2.95,127.00,Laurel,2022
108,28,Grid,1,69,2.95,129.50,Laurel,2022
208,28,Grid,2,63,2.94,111.80,Laurel,2022
304,112,Row,3,71,2.94,154.94,Laurel,2023
306,28,Row,3,61,2.94,129.54,Laurel,2023
309,112,Grid,3,71,2.94,101.60,Noelle,2023
208,112,Grid,2,65,2.94,139.70,Laurel,2023
102,112,Row,1,67,2.94,139.70,Noelle,2023
104,168,Grid,1,63,2.94,88.90,Noelle,2023
105,168,Row,1,71,2.94,127.00,Noelle,2023
107,56,Grid,1,67,2.94,151.13,Laurel,2023
202,168,Row,2,71,2.93,114.30,Laurel,2022
203,112,Row,2,65,2.93,142.20,Laurel,2022
307,28,Grid,3,59,2.93,92.71,Noelle,2023
301,56,Grid,3,67,2.93,94.00,Laurel,2022
308,56,Row,3,67,2.93,121.90,Laurel,2022
202,56,Row,2,67,2.93,149.86,Laurel,2023
204,28,Row,2,61,2.93,121.92,Noelle,2023
208,112,Grid,2,67,2.93,138.43,Laurel,2023
106,28,Grid,1,59,2.93,104.14,Noelle,2023
107,56,Grid,1,67,2.93,162.56,Laurel,2023
203,112,Row,2,67,2.92,116.80,Laurel,2022
204,56,Row,2,69,2.92,101.60,Laurel,2022
204,56,Row,2,61,2.92,106.70,Laurel,2022
309,112,Grid,3,65,2.92,97.79,Noelle,2023
309,112,Grid,3,71,2.92,115.57,Noelle,2023
204,28,Row,2,63,2.92,113.03,Noelle,2023
107,56,Grid,1,61,2.92,139.70,Laurel,2023
109,56,Row,1,69,2.92,137.16,Noelle,2023
303,56,Grid,3,63,2.91,106.68,Noelle,2023
303,56,Grid,3,63,2.91,142.24,Noelle,2023
307,28,Grid,3,59,2.91,100.33,Noelle,2023
309,112,Grid,3,71,2.91,121.92,Noelle,2023
302,28,Grid,3,63,2.91,111.80,Laurel,2022
202,56,Row,2,69,2.91,144.78,Laurel,2023
203,168,Row,2,67,2.91,91.44,Noelle,2023
204,28,Row,2,63,2.91,114.30,Noelle,2023
107,56,Grid,1,67,2.91,161.29,Laurel,2023
306,28,Row,3,61,2.9,127.00,Laurel,2023
307,28,Grid,3,63,2.9,111.76,Noelle,2023
207,28,Grid,2,65,2.9,116.84,Noelle,2023
208,112,Grid,2,69,2.9,137.16,Laurel,2023
209,112,Row,2,63,2.9,125.73,Noelle,2023
104,168,Grid,1,71,2.9,129.54,Noelle,2023
105,168,Row,1,71,2.9,137.16,Noelle,2023
109,56,Row,1,63,2.9,137.16,Noelle,2023
101,112,Row,1,69,2.9,129.50,Laurel,2022
103,112,Grid,1,61,2.9,101.60,Laurel,2022
207,28,Row,2,63,2.89,91.40,Laurel,2022
309,112,Grid,3,71,2.89,124.46,Noelle,2023
303,112,Row,3,59,2.89,111.80,Laurel,2022
203,168,Row,2,63,2.89,121.92,Noelle,2023
203,168,Row,2,63,2.89,134.62,Noelle,2023
104,168,Grid,1,67,2.89,121.92,Noelle,2023
101,112,Row,1,69,2.89,142.20,Laurel,2022
103,112,Grid,1,69,2.89,71.10,Laurel,2022
302,56,Row,3,63,2.88,129.54,Noelle,2023
306,28,Row,3,63,2.88,120.65,Laurel,2023
309,112,Grid,3,69,2.88,116.84,Noelle,2023
203,168,Row,2,61,2.88,119.38,Noelle,2023
203,168,Row,2,71,2.88,130.81,Noelle,2023
209,112,Row,2,67,2.88,142.24,Noelle,2023
209,112,Row,2,67,2.88,142.24,Noelle,2023
102,112,Row,1,71,2.88,129.54,Noelle,2023
104,168,Grid,1,67,2.88,129.54,Noelle,2023
104,168,Grid,1,71,2.88,138.43,Noelle,2023
105,168,Row,1,71,2.88,143.51,Noelle,2023
101,112,Row,1,67,2.88,129.50,Laurel,2022
107,56,Grid,1,61,2.88,116.80,Laurel,2022
108,28,Grid,1,69,2.88,129.50,Laurel,2022
208,28,Grid,2,59,2.87,91.40,Laurel,2022
208,28,Grid,2,63,2.87,127.00,Laurel,2022
303,112,Row,3,63,2.87,124.50,Laurel,2022
202,56,Row,2,59,2.87,119.38,Laurel,2023
203,168,Row,2,71,2.87,125.73,Noelle,2023
206,168,Grid,2,71,2.87,111.76,Noelle,2023
104,168,Grid,1,71,2.87,111.76,Noelle,2023
104,168,Grid,1,67,2.87,130.81,Noelle,2023
102,28,Row,1,67,2.87,119.40,Laurel,2022
108,28,Grid,1,67,2.87,119.40,Laurel,2022
207,28,Row,2,61,2.86,104.10,Laurel,2022
208,28,Grid,2,63,2.86,121.90,Laurel,2022
201,56,Grid,2,67,2.86,162.56,Laurel,2023
202,56,Row,2,67,2.86,144.78,Laurel,2023
203,168,Row,2,71,2.86,139.70,Noelle,2023
208,112,Grid,2,71,2.86,132.08,Laurel,2023
103,112,Grid,1,67,2.86,144.78,Laurel,2023
107,56,Grid,1,59,2.86,137.16,Laurel,2023
101,112,Row,1,61,2.86,101.60,Laurel,2022
204,56,Row,2,69,2.85,106.70,Laurel,2022
207,28,Row,2,67,2.85,129.50,Laurel,2022
309,112,Grid,3,71,2.85,115.57,Noelle,2023
304,28,Row,3,61,2.85,109.20,Laurel,2022
209,112,Row,2,67,2.85,138.43,Noelle,2023
103,112,Grid,1,71,2.85,133.35,Laurel,2023
104,168,Grid,1,69,2.85,114.30,Noelle,2023
105,168,Row,1,67,2.85,134.62,Noelle,2023
107,56,Grid,1,67,2.85,157.48,Laurel,2023
207,28,Row,2,63,2.84,116.80,Laurel,2022
309,112,Grid,3,69,2.84,96.52,Noelle,2023
202,56,Row,2,61,2.84,134.62,Laurel,2023
207,28,Grid,2,63,2.84,107.95,Noelle,2023
104,168,Grid,1,71,2.84,124.46,Noelle,2023
101,112,Row,1,61,2.84,109.20,Laurel,2022
303,56,Grid,3,59,2.83,109.22,Noelle,2023
304,112,Row,3,71,2.83,132.08,Laurel,2023
306,28,Row,3,59,2.83,102.87,Laurel,2023
304,28,Row,3,61,2.83,99.10,Laurel,2022
308,56,Row,3,69,2.83,106.70,Laurel,2022
208,112,Grid,2,67,2.83,144.78,Laurel,2023
209,112,Row,2,67,2.83,144.78,Noelle,2023
102,112,Row,1,71,2.83,129.54,Noelle,2023
104,168,Grid,1,67,2.83,139.70,Noelle,2023
109,56,Row,1,67,2.83,152.40,Noelle,2023
104,56,Row,1,65,2.83,121.90,Laurel,2022
206,56,Grid,2,61,2.82,116.80,Laurel,2022
207,28,Row,2,67,2.82,111.80,Laurel,2022
301,56,Grid,3,63,2.82,109.20,Laurel,2022
304,28,Row,3,61,2.82,101.60,Laurel,2022
201,56,Grid,2,65,2.82,162.56,Laurel,2023
208,112,Grid,2,71,2.82,152.40,Laurel,2023
208,112,Grid,2,67,2.82,156.21,Laurel,2023
104,168,Grid,1,69,2.82,125.73,Noelle,2023
102,28,Row,1,65,2.82,121.90,Laurel,2022
107,56,Grid,1,69,2.82,119.40,Laurel,2022
108,28,Grid,1,61,2.82,91.40,Laurel,2022
204,56,Row,2,69,2.81,111.80,Laurel,2022
302,56,Row,3,71,2.81,147.32,Noelle,2023
304,112,Row,3,71,2.81,139.70,Laurel,2023
302,28,Grid,3,69,2.81,124.50,Laurel,2022
308,56,Row,3,67,2.81,114.30,Laurel,2022
204,28,Row,2,59,2.81,66.04,Noelle,2023
104,168,Grid,1,69,2.81,125.73,Noelle,2023
104,168,Grid,1,71,2.81,127.00,Noelle,2023
106,28,Grid,1,59,2.81,119.38,Noelle,2023
107,56,Grid,1,59,2.81,134.62,Laurel,2023
109,56,Row,1,63,2.81,142.24,Noelle,2023
101,112,Row,1,67,2.81,141.00,Laurel,2022
303,56,Grid,3,59,2.8,88.90,Noelle,2023
304,28,Row,3,61,2.8,94.00,Laurel,2022
306,168,Grid,3,62,2.8,105.40,Cody,2022
206,168,Grid,2,69,2.8,123.19,Noelle,2023
208,112,Grid,2,71,2.8,147.32,Laurel,2023
209,112,Row,2,69,2.8,144.78,Noelle,2023
109,56,Row,1,65,2.8,149.86,Noelle,2023
206,56,Grid,2,67,2.79,121.90,Laurel,2022
304,112,Row,3,69,2.79,139.70,Laurel,2023
202,56,Row,2,59,2.79,137.16,Laurel,2023
203,168,Row,2,63,2.79,127.00,Noelle,2023
206,168,Grid,2,71,2.79,121.92,Noelle,2023
209,112,Row,2,65,2.79,114.30,Noelle,2023
209,112,Row,2,65,2.79,125.73,Noelle,2023
109,56,Row,1,65,2.79,157.48,Noelle,2023
208,28,Grid,2,63,2.78,106.70,Laurel,2022
306,28,Row,3,59,2.78,121.92,Laurel,2023
307,28,Grid,3,59,2.78,83.82,Noelle,2023
302,28,Grid,3,65,2.78,121.90,Laurel,2022
206,168,Grid,2,67,2.78,121.92,Noelle,2023
209,112,Row,2,67,2.78,132.08,Noelle,2023
105,168,Row,1,71,2.78,132.08,Noelle,2023
101,112,Row,1,65,2.78,114.30,Laurel,2022
208,28,Grid,2,63,2.77,96.50,Laurel,2022
304,112,Row,3,71,2.77,134.62,Laurel,2023
307,28,Grid,3,59,2.77,96.52,Noelle,2023
308,168,Grid,3,69,2.77,137.16,Laurel,2023
304,28,Row,3,63,2.77,114.30,Laurel,2022
202,56,Row,2,61,2.77,139.70,Laurel,2023
107,56,Grid,1,69,2.77,139.70,Laurel,2023
107,56,Grid,1,61,2.77,157.48,Laurel,2023
206,56,Grid,2,61,2.76,101.60,Laurel,2022
302,56,Row,3,65,2.76,114.30,Noelle,2023
308,56,Row,3,67,2.76,111.80,Laurel,2022
308,56,Row,3,67,2.76,127.00,Laurel,2022
107,56,Grid,1,67,2.76,152.40,Laurel,2023
108,28,Grid,1,65,2.76,116.80,Laurel,2022
207,28,Row,2,63,2.75,111.80,Laurel,2022
306,28,Row,3,61,2.75,139.70,Laurel,2023
203,168,Row,2,71,2.75,139.70,Noelle,2023
209,112,Row,2,67,2.75,130.81,Noelle,2023
102,112,Row,1,69,2.75,137.16,Noelle,2023
103,112,Grid,1,69,2.75,139.70,Laurel,2023
107,56,Grid,1,61,2.75,132.08,Laurel,2023
108,28,Grid,1,65,2.75,116.80,Laurel,2022
207,28,Row,2,65,2.74,96.50,Laurel,2022
302,56,Row,3,71,2.74,139.70,Noelle,2023
307,28,Grid,3,59,2.74,95.25,Noelle,2023
309,112,Grid,3,71,2.74,121.92,Noelle,2023
202,56,Row,2,63,2.74,132.08,Laurel,2023
107,56,Grid,1,43,2.74,53.34,Laurel,2023
308,168,Grid,3,61,2.73,119.38,Laurel,2023
301,56,Grid,3,69,2.73,99.10,Laurel,2022
304,28,Row,3,61,2.73,114.30,Laurel,2022
208,112,Grid,2,69,2.73,149.86,Laurel,2023
103,112,Grid,1,59,2.73,83.82,Laurel,2023
103,112,Grid,1,69,2.73,144.78,Laurel,2023
105,168,Row,1,71,2.73,129.54,Noelle,2023
107,56,Grid,1,67,2.73,154.94,Laurel,2023
101,112,Row,1,69,2.73,115.60,Laurel,2022
101,112,Row,1,65,2.73,119.40,Laurel,2022
203,112,Row,2,69,2.72,111.80,Laurel,2022
304,112,Row,3,71,2.72,135.89,Laurel,2023
201,56,Grid,2,63,2.72,137.16,Laurel,2023
201,56,Grid,2,65,2.72,147.32,Laurel,2023
101,28,Row,1,59,2.72,130.81,Noelle,2023
102,112,Row,1,71,2.72,130.81,Noelle,2023
104,168,Grid,1,71,2.72,125.73,Noelle,2023
105,168,Row,1,71,2.72,129.54,Noelle,2023
101,112,Row,1,71,2.72,114.30,Laurel,2022
104,56,Row,1,65,2.72,116.80,Laurel,2022
208,28,Grid,2,65,2.71,106.70,Laurel,2022
304,112,Row,3,67,2.71,142.24,Laurel,2023
304,112,Row,3,69,2.71,142.24,Laurel,2023
304,112,Row,3,71,2.71,146.05,Laurel,2023
301,56,Grid,3,69,2.71,111.80,Laurel,2022
306,168,Grid,3,69,2.71,114.30,Cody,2022
201,56,Grid,2,65,2.71,157.48,Laurel,2023
209,112,Row,2,67,2.71,128.27,Noelle,2023
103,112,Grid,1,69,2.71,137.16,Laurel,2023
104,168,Grid,1,71,2.71,132.08,Noelle,2023
105,168,Row,1,67,2.71,123.19,Noelle,2023
309,112,Grid,3,67,2.7,109.22,Noelle,2023
309,112,Grid,3,63,2.7,116.84,Noelle,2023
203,168,Row,2,63,2.7,104.14,Noelle,2023
208,112,Grid,2,71,2.7,134.62,Laurel,2023
102,112,Row,1,65,2.7,119.38,Noelle,2023
105,168,Row,1,71,2.7,121.92,Noelle,2023
105,168,Row,1,71,2.7,124.46,Noelle,2023
103,112,Grid,1,69,2.7,119.40,Laurel,2022
109,168,Row,1,61,2.7,116.80,Laurel,2022
306,28,Row,3,59,2.69,114.30,Laurel,2023
302,28,Grid,3,65,2.69,101.60,Laurel,2022
203,168,Row,2,69,2.69,120.65,Noelle,2023
101,28,Row,1,59,2.69,111.76,Noelle,2023
104,168,Grid,1,71,2.69,113.03,Noelle,2023
104,168,Grid,1,71,2.69,124.46,Noelle,2023
105,168,Row,1,71,2.69,139.70,Noelle,2023
103,112,Grid,1,61,2.69,106.70,Laurel,2022
108,28,Grid,1,65,2.69,129.50,Laurel,2022
303,56,Grid,3,61,2.68,130.81,Noelle,2023
304,112,Row,3,71,2.68,139.70,Laurel,2023
206,168,Grid,2,71,2.68,113.03,Noelle,2023
207,28,Grid,2,59,2.68,107.95,Noelle,2023
208,112,Grid,2,67,2.68,137.16,Laurel,2023
101,112,Row,1,69,2.68,119.40,Laurel,2022
209,168,Grid,2,61,2.67,106.70,Laurel,2022
307,28,Grid,3,59,2.67,114.30,Noelle,2023
308,168,Grid,3,71,2.67,134.62,Laurel,2023
309,112,Grid,3,71,2.67,119.38,Noelle,2023
206,168,Grid,2,71,2.67,114.30,Noelle,2023
206,168,Grid,2,67,2.67,116.84,Noelle,2023
209,112,Row,2,69,2.67,123.19,Noelle,2023
104,168,Grid,1,71,2.67,127.00,Noelle,2023
109,56,Row,1,59,2.67,121.92,Noelle,2023
101,112,Row,1,65,2.67,111.80,Laurel,2022
105,168,Grid,1,63,2.67,101.60,Laurel,2022
204,56,Row,2,67,2.66,109.20,Laurel,2022
302,28,Grid,3,59,2.66,86.40,Laurel,2022
302,28,Grid,3,67,2.66,116.80,Laurel,2022
303,112,Row,3,67,2.66,114.30,Laurel,2022
201,56,Grid,2,69,2.66,152.40,Laurel,2023
202,56,Row,2,69,2.66,139.70,Laurel,2023
203,168,Row,2,67,2.66,140.97,Noelle,2023
208,112,Grid,2,67,2.66,125.73,Laurel,2023
109,56,Row,1,65,2.66,119.38,Noelle,2023
101,112,Row,1,67,2.66,127.00,Laurel,2022
304,112,Row,3,71,2.65,142.24,Laurel,2023
301,56,Grid,3,67,2.65,111.80,Laurel,2022
304,28,Row,3,67,2.65,109.20,Laurel,2022
308,56,Row,3,67,2.65,114.30,Laurel,2022
201,56,Grid,2,61,2.65,114.30,Laurel,2023
201,56,Grid,2,65,2.65,137.16,Laurel,2023
102,112,Row,1,67,2.65,142.24,Noelle,2023
103,112,Grid,1,67,2.65,135.89,Laurel,2023
109,56,Row,1,59,2.65,86.36,Noelle,2023
101,112,Row,1,69,2.65,119.40,Laurel,2022
208,28,Grid,2,61,2.64,101.60,Laurel,2022
303,56,Grid,3,61,2.64,132.08,Noelle,2023
309,112,Grid,3,69,2.64,119.38,Noelle,2023
309,112,Grid,3,69,2.64,121.92,Noelle,2023
302,28,Grid,3,61,2.64,116.80,Laurel,2022
308,56,Row,3,67,2.64,116.80,Laurel,2022
201,56,Grid,2,65,2.64,139.70,Laurel,2023
101,112,Row,1,67,2.64,127.00,Laurel,2022
303,56,Grid,3,59,2.63,99.06,Noelle,2023
304,112,Row,3,71,2.63,129.54,Laurel,2023
302,28,Grid,3,61,2.63,99.10,Laurel,2022
306,168,Grid,3,61,2.63,99.10,Cody,2022
206,168,Grid,2,69,2.63,109.22,Noelle,2023
206,168,Grid,2,65,2.63,127.00,Noelle,2023
104,168,Grid,1,69,2.63,114.30,Noelle,2023
104,168,Grid,1,67,2.63,137.16,Noelle,2023
105,168,Row,1,67,2.63,127.00,Noelle,2023
107,56,Grid,1,59,2.63,100.33,Laurel,2023
109,56,Row,1,67,2.63,140.97,Noelle,2023
203,112,Row,2,65,2.62,58.40,Laurel,2022
305,168,Row,3,69,2.62,111.76,Noelle,2023
203,168,Row,2,67,2.62,99.06,Noelle,2023
203,168,Row,2,71,2.62,120.65,Noelle,2023
206,168,Grid,2,61,2.62,113.03,Noelle,2023
206,168,Grid,2,67,2.62,118.11,Noelle,2023
104,168,Grid,1,71,2.62,107.95,Noelle,2023
105,168,Row,1,69,2.62,127.00,Noelle,2023
103,112,Grid,1,61,2.62,106.70,Laurel,2022
309,112,Grid,3,61,2.61,105.41,Noelle,2023
309,112,Grid,3,71,2.61,114.30,Noelle,2023
201,56,Grid,2,69,2.61,154.94,Laurel,2023
204,28,Row,2,59,2.61,86.36,Noelle,2023
208,112,Grid,2,71,2.61,144.78,Laurel,2023
209,112,Row,2,67,2.61,132.08,Noelle,2023
102,112,Row,1,71,2.61,114.30,Noelle,2023
303,112,Row,3,67,2.6,116.80,Laurel,2022
306,168,Grid,3,67,2.6,108.00,Cody,2022
203,168,Row,2,61,2.6,125.73,Noelle,2023
208,112,Grid,2,71,2.6,134.62,Laurel,2023
209,112,Row,2,65,2.6,130.81,Noelle,2023
102,112,Row,1,65,2.6,129.54,Noelle,2023
104,168,Grid,1,67,2.6,130.81,Noelle,2023
107,56,Grid,1,61,2.6,127.00,Laurel,2023
107,56,Grid,1,65,2.6,156.21,Laurel,2023
103,112,Grid,1,63,2.6,106.70,Laurel,2022
202,168,Row,2,69,2.59,111.80,Laurel,2022
309,112,Grid,3,67,2.59,121.92,Noelle,2023
303,112,Row,3,67,2.59,116.80,Laurel,2022
202,56,Row,2,67,2.59,144.78,Laurel,2023
208,112,Grid,2,69,2.59,142.24,Laurel,2023
102,112,Row,1,71,2.59,137.16,Noelle,2023
105,168,Row,1,71,2.59,134.62,Noelle,2023
101,112,Row,1,65,2.59,116.80,Laurel,2022
107,56,Grid,1,67,2.59,114.30,Laurel,2022
203,112,Row,2,67,2.58,111.80,Laurel,2022
206,56,Grid,2,61,2.58,91.40,Laurel,2022
208,28,Grid,2,63,2.58,109.20,Laurel,2022
209,168,Grid,2,67,2.58,101.60,Laurel,2022
302,56,Row,3,71,2.58,121.92,Noelle,2023
307,28,Grid,3,59,2.58,95.25,Noelle,2023
309,112,Grid,3,63,2.58,99.06,Noelle,2023
303,112,Row,3,67,2.58,116.80,Laurel,2022
206,168,Grid,2,67,2.58,109.22,Noelle,2023
102,112,Row,1,71,2.58,139.70,Noelle,2023
104,168,Grid,1,71,2.58,139.70,Noelle,2023
105,168,Row,1,69,2.58,132.08,Noelle,2023
105,168,Row,1,67,2.58,134.62,Noelle,2023
103,112,Grid,1,63,2.58,114.30,Laurel,2022
104,56,Row,1,65,2.58,124.50,Laurel,2022
107,56,Grid,1,65,2.58,116.80,Laurel,2022
